cat_strategy,mouse_strategy,skill,caught,caught_time,caught_seconds,steps,map
SmartCat,Predictive,dash,1,13,0.0,13,easy
SmartCat,Predictive,dash,1,22,0.0,22,easy
SmartCat,Predictive,dash,1,21,0.0,21,easy
SmartCat,Predictive,dash,1,48,0.0,48,easy
SmartCat,Predictive,dash,1,28,0.0,28,easy
SmartCat,Predictive,dash,1,15,0.0,15,easy
SmartCat,Predictive,dash,1,34,0.0,34,easy
SmartCat,Predictive,dash,1,32,0.0,32,easy
SmartCat,Predictive,dash,1,28,0.0,28,easy
SmartCat,Predictive,dash,1,17,0.0,17,easy
SmartCat,Predictive,dash,1,13,0.0,13,easy
SmartCat,Predictive,dash,1,8,0.0,8,easy
SmartCat,Predictive,dash,1,13,0.0,13,easy
SmartCat,Predictive,dash,1,22,0.0,22,easy
SmartCat,Predictive,dash,1,44,0.0,44,easy
SmartCat,Predictive,dash,1,5,0.0,5,easy
SmartCat,Predictive,dash,1,16,0.0,16,easy
SmartCat,Predictive,dash,1,23,0.0,23,easy
SmartCat,Predictive,dash,1,15,0.0,15,easy
SmartCat,Predictive,dash,1,11,0.0,11,easy
SmartCat,Predictive,dash,1,63,0.0,63,easy
SmartCat,Predictive,dash,1,28,0.0,28,easy
SmartCat,Predictive,dash,1,30,0.0,30,easy
SmartCat,Predictive,dash,1,56,0.0,56,easy
SmartCat,Predictive,dash,1,27,0.0,27,easy
SmartCat,Predictive,dash,1,35,0.0,35,easy
SmartCat,Predictive,dash,1,30,0.0,30,easy
SmartCat,Predictive,dash,1,63,0.0,63,easy
SmartCat,Predictive,dash,1,50,0.0,50,easy
SmartCat,Predictive,dash,1,12,0.0,12,easy
SmartCat,Predictive,dash,1,39,0.0,39,easy
SmartCat,Predictive,dash,1,13,0.0,13,easy
SmartCat,Predictive,dash,1,34,0.0,34,easy
SmartCat,Predictive,dash,1,19,0.0,19,easy
SmartCat,Predictive,dash,1,32,0.0,32,easy
SmartCat,Predictive,dash,1,19,0.0,19,easy
SmartCat,Predictive,dash,1,0,0.0,0,easy
SmartCat,Predictive,dash,1,20,0.0,20,easy
SmartCat,Predictive,dash,1,20,0.0,20,easy
SmartCat,Predictive,dash,1,52,0.0,52,easy
SmartCat,Predictive,dash,1,13,0.0,13,easy
SmartCat,Predictive,dash,1,7,0.0,7,easy
SmartCat,Predictive,dash,1,16,0.0,16,easy
SmartCat,Predictive,dash,1,39,0.0,39,easy
SmartCat,Predictive,dash,1,30,0.0,30,easy
SmartCat,Predictive,dash,1,28,0.0,28,easy
SmartCat,Predictive,dash,1,11,0.0,11,easy
SmartCat,Predictive,dash,1,8,0.0,8,easy
SmartCat,Predictive,dash,1,21,0.0,21,easy
SmartCat,Predictive,dash,1,18,0.0,18,easy
SmartCat,Predictive,shield,1,25,0.0,25,easy
SmartCat,Predictive,shield,1,56,0.0,56,easy
SmartCat,Predictive,shield,1,30,0.0,30,easy
SmartCat,Predictive,shield,1,17,0.0,17,easy
SmartCat,Predictive,shield,1,44,0.0,44,easy
SmartCat,Predictive,shield,1,22,0.0,22,easy
SmartCat,Predictive,shield,1,11,0.0,11,easy
SmartCat,Predictive,shield,1,8,0.0,8,easy
SmartCat,Predictive,shield,1,22,0.0,22,easy
SmartCat,Predictive,shield,1,62,0.0,62,easy
SmartCat,Predictive,shield,1,33,0.0,33,easy
SmartCat,Predictive,shield,1,6,0.0,6,easy
SmartCat,Predictive,shield,1,30,0.0,30,easy
SmartCat,Predictive,shield,1,25,0.0,25,easy
SmartCat,Predictive,shield,1,46,0.0,46,easy
SmartCat,Predictive,shield,1,19,0.0,19,easy
SmartCat,Predictive,shield,1,21,0.0,21,easy
SmartCat,Predictive,shield,1,51,0.0,51,easy
