trial,repeat,map,cat_strategy,mouse_strategy,skills,caught,steps
1,1,easy,SmartCat,Random,,1,168
1,1,easy,SmartCat,RunAway,,1,171
1,1,easy,SmartCat,Corner,,1,174
1,1,easy,SmartCat,Memory,,1,196
1,1,easy,SmartCat,SmartRunAway,,1,173
1,1,easy,SmartCat,Predictive,,1,173
1,1,easy,SmartCat,Predictive,teleport,1,168
1,1,easy,SmartCat,QLearning,none,0,200
2,2,easy,SmartCat,QLearning,none,1,40
2,2,easy,SmartCat,Random,,1,171
2,2,easy,SmartCat,RunAway,,1,175
2,2,easy,SmartCat,Corner,,1,179
2,2,easy,SmartCat,Memory,,1,198
2,2,easy,SmartCat,SmartRunAway,,1,176
2,2,easy,SmartCat,Predictive,,1,174
2,2,easy,SmartCat,Predictive,teleport,1,173
3,3,easy,SmartCat,QLearning,none,1,8
3,3,easy,SmartCat,Random,,1,168
3,3,easy,SmartCat,RunAway,,1,166
3,3,easy,SmartCat,Corner,,1,176
3,3,easy,SmartCat,Memory,,1,198
3,3,easy,SmartCat,SmartRunAway,,1,169
3,3,easy,SmartCat,Predictive,,1,171
3,3,easy,SmartCat,Predictive,teleport,1,165
4,4,easy,SmartCat,Random,,1,161
4,4,easy,SmartCat,RunAway,,1,166
4,4,easy,SmartCat,Corner,,1,167
4,4,easy,SmartCat,Memory,,1,196
4,4,easy,SmartCat,SmartRunAway,,1,162
4,4,easy,SmartCat,Predictive,,1,166
4,4,easy,SmartCat,Predictive,teleport,1,173
4,4,easy,SmartCat,QLearning,none,0,200
5,5,easy,SmartCat,QLearning,none,1,95
5,5,easy,SmartCat,Random,,1,180
5,5,easy,SmartCat,RunAway,,1,154
5,5,easy,SmartCat,Corner,,1,170
5,5,easy,SmartCat,Memory,,1,197
5,5,easy,SmartCat,SmartRunAway,,1,170
5,5,easy,SmartCat,Predictive,,1,169
5,5,easy,SmartCat,Predictive,teleport,1,169
6,6,easy,SmartCat,QLearning,none,1,22
6,6,easy,SmartCat,Random,,1,180
6,6,easy,SmartCat,RunAway,,1,187
6,6,easy,SmartCat,Corner,,1,183
6,6,easy,SmartCat,Memory,,1,196
6,6,easy,SmartCat,SmartRunAway,,1,183
6,6,easy,SmartCat,Predictive,,1,181
6,6,easy,SmartCat,Predictive,teleport,1,186
7,7,easy,SmartCat,Random,,1,176
7,7,easy,SmartCat,RunAway,,1,170
7,7,easy,SmartCat,Corner,,1,173
7,7,easy,SmartCat,Memory,,1,190
7,7,easy,SmartCat,SmartRunAway,,1,170
7,7,easy,SmartCat,Predictive,,1,174
7,7,easy,SmartCat,Predictive,teleport,1,173
7,7,easy,SmartCat,QLearning,none,0,200
8,8,easy,SmartCat,Random,,1,155
8,8,easy,SmartCat,RunAway,,1,168
8,8,easy,SmartCat,Corner,,1,168
8,8,easy,SmartCat,Memory,,1,198
8,8,easy,SmartCat,SmartRunAway,,1,173
8,8,easy,SmartCat,Predictive,,1,170
8,8,easy,SmartCat,Predictive,teleport,1,171
8,8,easy,SmartCat,QLearning,none,0,200
9,9,easy,SmartCat,QLearning,none,1,21
9,9,easy,SmartCat,Random,,1,173
9,9,easy,SmartCat,RunAway,,1,173
9,9,easy,SmartCat,Corner,,1,177
9,9,easy,SmartCat,Memory,,1,186
9,9,easy,SmartCat,SmartRunAway,,1,171
9,9,easy,SmartCat,Predictive,,1,169
9,9,easy,SmartCat,Predictive,teleport,1,172
10,10,easy,SmartCat,QLearning,none,1,176
10,10,easy,SmartCat,Random,,1,147
10,10,easy,SmartCat,RunAway,,1,170
10,10,easy,SmartCat,Corner,,1,166
10,10,easy,SmartCat,Memory,,1,197
10,10,easy,SmartCat,SmartRunAway,,1,172
10,10,easy,SmartCat,Predictive,,1,164
10,10,easy,SmartCat,Predictive,teleport,1,172
11,11,easy,SmartCat,QLearning,none,1,13
11,11,easy,SmartCat,Random,,1,185
11,11,easy,SmartCat,RunAway,,1,180
11,11,easy,SmartCat,Corner,,1,182
11,11,easy,SmartCat,Memory,,1,191
11,11,easy,SmartCat,SmartRunAway,,1,175
11,11,easy,SmartCat,Predictive,,1,181
11,11,easy,SmartCat,Predictive,teleport,1,178
12,12,easy,SmartCat,QLearning,none,1,0
12,12,easy,SmartCat,Random,,1,189
12,12,easy,SmartCat,RunAway,,1,182
12,12,easy,SmartCat,Corner,,1,188
12,12,easy,SmartCat,Memory,,1,197
12,12,easy,SmartCat,SmartRunAway,,1,182
12,12,easy,SmartCat,Predictive,,1,182
12,12,easy,SmartCat,Predictive,teleport,1,186
13,13,easy,SmartCat,QLearning,none,1,83
13,13,easy,SmartCat,Random,,1,186
13,13,easy,SmartCat,RunAway,,1,177
13,13,easy,SmartCat,Corner,,1,175
13,13,easy,SmartCat,Memory,,1,189
13,13,easy,SmartCat,SmartRunAway,,1,172
13,13,easy,SmartCat,Predictive,,1,174
13,13,easy,SmartCat,Predictive,teleport,1,180
14,14,easy,SmartCat,QLearning,none,1,103
14,14,easy,SmartCat,Random,,1,174
14,14,easy,SmartCat,RunAway,,1,171
14,14,easy,SmartCat,Corner,,1,169
14,14,easy,SmartCat,Memory,,1,197
14,14,easy,SmartCat,SmartRunAway,,1,171
14,14,easy,SmartCat,Predictive,,1,177
14,14,easy,SmartCat,Predictive,teleport,1,170
15,15,easy,SmartCat,Random,,1,185
15,15,easy,SmartCat,RunAway,,1,176
15,15,easy,SmartCat,Corner,,1,180
15,15,easy,SmartCat,Memory,,1,187
15,15,easy,SmartCat,SmartRunAway,,1,178
15,15,easy,SmartCat,Predictive,,1,175
15,15,easy,SmartCat,Predictive,teleport,1,183
15,15,easy,SmartCat,QLearning,none,0,200
16,16,easy,SmartCat,Random,,1,172
16,16,easy,SmartCat,RunAway,,1,177
16,16,easy,SmartCat,Corner,,1,174
16,16,easy,SmartCat,Memory,,1,187
16,16,easy,SmartCat,SmartRunAway,,1,173
16,16,easy,SmartCat,Predictive,,1,175
16,16,easy,SmartCat,Predictive,teleport,1,176
16,16,easy,SmartCat,QLearning,none,0,200
17,17,easy,SmartCat,QLearning,none,1,13
17,17,easy,SmartCat,Random,,1,173
17,17,easy,SmartCat,RunAway,,1,169
17,17,easy,SmartCat,Corner,,1,167
17,17,easy,SmartCat,Memory,,1,192
17,17,easy,SmartCat,SmartRunAway,,1,154
17,17,easy,SmartCat,Predictive,,1,165
17,17,easy,SmartCat,Predictive,teleport,1,170
18,18,easy,SmartCat,QLearning,none,1,14
18,18,easy,SmartCat,Random,,1,167
18,18,easy,SmartCat,RunAway,,1,163
18,18,easy,SmartCat,Corner,,1,173
18,18,easy,SmartCat,Memory,,1,193
18,18,easy,SmartCat,SmartRunAway,,1,172
18,18,easy,SmartCat,Predictive,,1,170
18,18,easy,SmartCat,Predictive,teleport,1,162
19,19,easy,SmartCat,Random,,1,168
19,19,easy,SmartCat,RunAway,,1,175
19,19,easy,SmartCat,Corner,,1,173
19,19,easy,SmartCat,Memory,,1,193
19,19,easy,SmartCat,SmartRunAway,,1,179
19,19,easy,SmartCat,Predictive,,1,173
19,19,easy,SmartCat,Predictive,teleport,1,180
19,19,easy,SmartCat,QLearning,none,0,200
20,20,easy,SmartCat,QLearning,none,1,15
20,20,easy,SmartCat,Random,,1,179
20,20,easy,SmartCat,RunAway,,1,134
20,20,easy,SmartCat,Corner,,1,157
20,20,easy,SmartCat,Memory,,1,197
20,20,easy,SmartCat,SmartRunAway,,1,155
20,20,easy,SmartCat,Predictive,,1,158
20,20,easy,SmartCat,Predictive,teleport,1,154
21,21,easy,SmartCat,QLearning,none,1,16
21,21,easy,SmartCat,Random,,1,172
21,21,easy,SmartCat,RunAway,,1,155
21,21,easy,SmartCat,Corner,,1,164
21,21,easy,SmartCat,Memory,,1,197
21,21,easy,SmartCat,SmartRunAway,,1,160
21,21,easy,SmartCat,Predictive,,1,161
21,21,easy,SmartCat,Predictive,teleport,1,156
22,22,easy,SmartCat,Random,,1,189
22,22,easy,SmartCat,RunAway,,1,161
22,22,easy,SmartCat,Corner,,1,166
22,22,easy,SmartCat,Memory,,1,198
22,22,easy,SmartCat,SmartRunAway,,1,162
22,22,easy,SmartCat,Predictive,,1,170
22,22,easy,SmartCat,Predictive,teleport,1,166
22,22,easy,SmartCat,QLearning,none,0,200
23,23,easy,SmartCat,Random,,1,167
23,23,easy,SmartCat,RunAway,,1,169
23,23,easy,SmartCat,Corner,,1,167
23,23,easy,SmartCat,Memory,,1,190
23,23,easy,SmartCat,SmartRunAway,,1,173
23,23,easy,SmartCat,Predictive,,1,169
23,23,easy,SmartCat,Predictive,teleport,1,165
23,23,easy,SmartCat,QLearning,none,0,200
24,24,easy,SmartCat,Random,,1,188
24,24,easy,SmartCat,RunAway,,1,183
24,24,easy,SmartCat,Corner,,1,178
24,24,easy,SmartCat,Memory,,1,185
24,24,easy,SmartCat,SmartRunAway,,1,181
24,24,easy,SmartCat,Predictive,,1,182
24,24,easy,SmartCat,Predictive,teleport,1,184
24,24,easy,SmartCat,QLearning,none,0,200
25,25,easy,SmartCat,QLearning,none,1,54
25,25,easy,SmartCat,Random,,1,175
25,25,easy,SmartCat,RunAway,,1,166
25,25,easy,SmartCat,Corner,,1,175
25,25,easy,SmartCat,Memory,,1,198
25,25,easy,SmartCat,SmartRunAway,,1,177
25,25,easy,SmartCat,Predictive,,1,172
25,25,easy,SmartCat,Predictive,teleport,1,176
26,26,easy,SmartCat,QLearning,none,1,13
26,26,easy,SmartCat,Random,,1,196
26,26,easy,SmartCat,RunAway,,1,183
26,26,easy,SmartCat,Corner,,1,189
26,26,easy,SmartCat,Memory,,1,187
26,26,easy,SmartCat,SmartRunAway,,1,187
26,26,easy,SmartCat,Predictive,,1,187
26,26,easy,SmartCat,Predictive,teleport,1,183
27,27,easy,SmartCat,Random,,1,166
27,27,easy,SmartCat,RunAway,,1,171
27,27,easy,SmartCat,Corner,,1,175
27,27,easy,SmartCat,Memory,,1,196
27,27,easy,SmartCat,SmartRunAway,,1,176
27,27,easy,SmartCat,Predictive,,1,171
27,27,easy,SmartCat,Predictive,teleport,1,175
27,27,easy,SmartCat,QLearning,none,0,200
28,28,easy,SmartCat,Random,,1,156
28,28,easy,SmartCat,RunAway,,1,165
28,28,easy,SmartCat,Corner,,1,161
28,28,easy,SmartCat,Memory,,1,199
28,28,easy,SmartCat,SmartRunAway,,1,163
28,28,easy,SmartCat,Predictive,,1,163
28,28,easy,SmartCat,Predictive,teleport,1,169
28,28,easy,SmartCat,QLearning,none,0,200
29,29,easy,SmartCat,QLearning,none,1,98
29,29,easy,SmartCat,Random,,1,178
29,29,easy,SmartCat,RunAway,,1,173
29,29,easy,SmartCat,Corner,,1,171
29,29,easy,SmartCat,Memory,,1,191
29,29,easy,SmartCat,SmartRunAway,,1,162
29,29,easy,SmartCat,Predictive,,1,176
29,29,easy,SmartCat,Predictive,teleport,1,175
30,30,easy,SmartCat,QLearning,none,1,13
30,30,easy,SmartCat,Random,,1,170
30,30,easy,SmartCat,RunAway,,1,162
30,30,easy,SmartCat,Corner,,1,169
30,30,easy,SmartCat,Memory,,1,191
30,30,easy,SmartCat,SmartRunAway,,1,171
30,30,easy,SmartCat,Predictive,,1,166
30,30,easy,SmartCat,Predictive,teleport,1,174
31,31,easy,SmartCat,QLearning,none,1,4
31,31,easy,SmartCat,Random,,1,188
31,31,easy,SmartCat,RunAway,,1,176
31,31,easy,SmartCat,Corner,,1,184
31,31,easy,SmartCat,Memory,,1,190
31,31,easy,SmartCat,SmartRunAway,,1,178
31,31,easy,SmartCat,Predictive,,1,179
31,31,easy,SmartCat,Predictive,teleport,1,177
32,32,easy,SmartCat,Random,,1,194
32,32,easy,SmartCat,RunAway,,1,185
32,32,easy,SmartCat,Corner,,1,189
32,32,easy,SmartCat,Memory,,1,192
32,32,easy,SmartCat,SmartRunAway,,1,189
32,32,easy,SmartCat,Predictive,,1,185
32,32,easy,SmartCat,Predictive,teleport,1,188
32,32,easy,SmartCat,QLearning,none,0,200
33,33,easy,SmartCat,Random,,1,170
33,33,easy,SmartCat,RunAway,,1,172
33,33,easy,SmartCat,Corner,,1,174
33,33,easy,SmartCat,Memory,,1,194
33,33,easy,SmartCat,SmartRunAway,,1,166
33,33,easy,SmartCat,Predictive,,1,170
33,33,easy,SmartCat,Predictive,teleport,1,170
33,33,easy,SmartCat,QLearning,none,0,200
34,34,easy,SmartCat,Random,,1,175
34,34,easy,SmartCat,RunAway,,1,172
34,34,easy,SmartCat,Corner,,1,175
34,34,easy,SmartCat,Memory,,1,195
34,34,easy,SmartCat,SmartRunAway,,1,168
34,34,easy,SmartCat,Predictive,,1,173
34,34,easy,SmartCat,Predictive,teleport,1,170
34,34,easy,SmartCat,QLearning,none,0,200
35,35,easy,SmartCat,Random,,1,162
35,35,easy,SmartCat,RunAway,,1,165
35,35,easy,SmartCat,Corner,,1,173
35,35,easy,SmartCat,Memory,,1,197
35,35,easy,SmartCat,SmartRunAway,,1,171
35,35,easy,SmartCat,Predictive,,1,170
35,35,easy,SmartCat,Predictive,teleport,1,177
35,35,easy,SmartCat,QLearning,none,0,200
36,36,easy,SmartCat,QLearning,none,1,114
36,36,easy,SmartCat,Random,,1,186
36,36,easy,SmartCat,RunAway,,1,183
36,36,easy,SmartCat,Corner,,1,183
36,36,easy,SmartCat,Memory,,1,197
36,36,easy,SmartCat,SmartRunAway,,1,175
36,36,easy,SmartCat,Predictive,,1,178
36,36,easy,SmartCat,Predictive,teleport,1,179
37,37,easy,SmartCat,QLearning,none,1,36
37,37,easy,SmartCat,Random,,1,165
37,37,easy,SmartCat,RunAway,,1,163
37,37,easy,SmartCat,Corner,,1,170
37,37,easy,SmartCat,Memory,,1,197
37,37,easy,SmartCat,SmartRunAway,,1,166
37,37,easy,SmartCat,Predictive,,1,173
37,37,easy,SmartCat,Predictive,teleport,1,172
38,38,easy,SmartCat,QLearning,none,1,21
38,38,easy,SmartCat,Random,,1,167
38,38,easy,SmartCat,RunAway,,1,165
38,38,easy,SmartCat,Corner,,1,167
38,38,easy,SmartCat,Memory,,1,197
38,38,easy,SmartCat,SmartRunAway,,1,167
38,38,easy,SmartCat,Predictive,,1,168
38,38,easy,SmartCat,Predictive,teleport,1,163
39,39,easy,SmartCat,QLearning,none,1,84
39,39,easy,SmartCat,Random,,1,159
39,39,easy,SmartCat,RunAway,,1,167
39,39,easy,SmartCat,Corner,,1,174
39,39,easy,SmartCat,Memory,,1,199
39,39,easy,SmartCat,SmartRunAway,,1,169
39,39,easy,SmartCat,Predictive,,1,170
39,39,easy,SmartCat,Predictive,teleport,1,170
40,40,easy,SmartCat,QLearning,none,1,146
40,40,easy,SmartCat,Random,,1,182
40,40,easy,SmartCat,RunAway,,1,179
40,40,easy,SmartCat,Corner,,1,183
40,40,easy,SmartCat,Memory,,1,190
40,40,easy,SmartCat,SmartRunAway,,1,185
40,40,easy,SmartCat,Predictive,,1,176
40,40,easy,SmartCat,Predictive,teleport,1,183
41,41,easy,SmartCat,Random,,1,173
41,41,easy,SmartCat,RunAway,,1,175
41,41,easy,SmartCat,Corner,,1,180
41,41,easy,SmartCat,Memory,,1,198
41,41,easy,SmartCat,SmartRunAway,,1,179
