cat_strategy,mouse_strategy,caught,caught_time,caught_seconds,steps,num_mice,map
SmartCat,RunAway,1,9,0.0,9,6,easy
SmartCat,Memory,1,28,0.0,28,6,easy
SmartCat,Random,1,29,0.0,29,6,easy
SmartCat,SmartRunAway,1,45,0.0,45,6,easy
SmartCat,Corner,1,60,0.0,60,6,easy
SmartCat,Predictive,1,70,0.0,70,6,easy
SmartCat,Random,1,12,0.0,12,6,easy
SmartCat,Memory,1,27,0.0,27,6,easy
SmartCat,Predictive,1,56,0.0,56,6,easy
SmartCat,RunAway,1,65,0.0,65,6,easy
SmartCat,SmartRunAway,1,65,0.0,65,6,easy
SmartCat,Corner,1,88,0.01,88,6,easy
SmartCat,Random,1,12,0.0,12,6,easy
SmartCat,Corner,1,12,0.0,12,6,easy
SmartCat,Memory,1,20,0.0,20,6,easy
SmartCat,Predictive,1,41,0.0,41,6,easy
SmartCat,RunAway,1,67,0.0,67,6,easy
SmartCat,SmartRunAway,1,67,0.0,67,6,easy
SmartCat,Corner,1,0,0.0,0,6,easy
SmartCat,Random,1,14,0.0,14,6,easy
SmartCat,Memory,1,29,0.0,29,6,easy
SmartCat,SmartRunAway,1,35,0.0,35,6,easy
SmartCat,RunAway,1,54,0.0,54,6,easy
SmartCat,Predictive,1,67,0.0,67,6,easy
SmartCat,Memory,1,3,0.0,3,6,easy
SmartCat,RunAway,1,14,0.0,14,6,easy
SmartCat,Random,1,28,0.0,28,6,easy
SmartCat,Corner,1,34,0.0,34,6,easy
SmartCat,SmartRunAway,1,36,0.0,36,6,easy
SmartCat,Predictive,1,45,0.0,45,6,easy
SmartCat,Corner,1,14,0.0,14,6,easy
SmartCat,Memory,1,16,0.0,16,6,easy
SmartCat,SmartRunAway,1,31,0.0,31,6,easy
SmartCat,Predictive,1,31,0.0,31,6,easy
SmartCat,RunAway,1,35,0.0,35,6,easy
SmartCat,Random,1,46,0.0,46,6,easy
SmartCat,Predictive,1,8,0.0,8,6,easy
SmartCat,RunAway,1,21,0.0,21,6,easy
SmartCat,Random,1,39,0.0,39,6,easy
SmartCat,Corner,1,53,0.0,53,6,easy
SmartCat,SmartRunAway,1,61,0.0,61,6,easy
SmartCat,Memory,1,69,0.0,69,6,easy
SmartCat,RunAway,1,12,0.0,12,6,easy
SmartCat,Random,1,24,0.0,24,6,easy
SmartCat,SmartRunAway,1,30,0.0,30,6,easy
SmartCat,Corner,1,39,0.0,39,6,easy
SmartCat,Memory,1,42,0.0,42,6,easy
SmartCat,Predictive,1,59,0.0,59,6,easy
SmartCat,Predictive,1,14,0.0,14,6,easy
SmartCat,Memory,1,33,0.0,33,6,easy
SmartCat,Random,1,35,0.0,35,6,easy
SmartCat,SmartRunAway,1,51,0.0,51,6,easy
SmartCat,RunAway,1,67,0.0,67,6,easy
SmartCat,Corner,1,93,0.0,93,6,easy
SmartCat,Random,1,3,0.0,3,6,easy
SmartCat,Memory,1,4,0.0,4,6,easy
SmartCat,Predictive,1,16,0.0,16,6,easy
SmartCat,RunAway,1,34,0.0,34,6,easy
SmartCat,Corner,1,65,0.0,65,6,easy
